Criterio Gastos;Criterio ingresos Edison;Fecha;Prestador Servicio;  Labor  ; Clasificaci„n Labores ;  Tractor ;  Lugar  ;  Cultivo  ;  Sector  ;  Orden/report  ;  Chofer  ;  Tractor  ;  Producto  ;  Veces  ;Cantidad;  Unid.  ;  Unitario  ;  Neto  ;  iva  ;  Total  ;  A Empresa  ;  Factura  ; Factura ;
  Massai Casta_o 2Apio 17Cultivar ; Brice_oCasta_o 2Apio 17Cultivar ;09-08-16;Brice_o;  Cultivar  ; Cultivar ;; Casta_o 2 ; Apio 17 ;;;;;;;5;  Ha  ;25.000;125.000;23.750;148.750;  Massai  ;;;
  Arancibia G NogalesApioRastraje ; Brice_oNogalesApioRastraje ;10-08-16;Brice_o;  Rastraje  ;Rastraje;; Nogales ; Apio ;;;;;  Perimetro y camino  ;;1;  Ha  ;24.500;24.500;4.655;29.155;  Arancibia G  ;;;
  Massai Casta_o 2Apio 17Aplic. Herbicida ; Brice_oCasta_o 2Apio 17Aplic. Herbicida ;12-08-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Casta_o 2 ; Apio 17 ;;;;;  Linurex  ;;5;  Ha  ;20.000;100.000;19.000;119.000;  Massai  ;;;
  Martinez PocochayApioCultivar ; Brice_oPocochayApioCultivar ;16-08-16;Brice_o;  Cultivar  ; Cultivar ;; Pocochay ; Apio ;;;;;;;4,7;  Ha  ;25.000;117.500;22.325;139.825;  Martinez  ;;;
  Martinez PocochayApioAplic. Pesticidas ; Brice_oPocochayApioAplic. Pesticidas ;17-08-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; Pocochay ; Apio ;;;;;  Tilt /buldock/trainer/sulf.mg/basfoliar  ;;4,7;  Ha  ;20.000;94.000;17.860;111.860;  Martinez  ;;;
  Massai Casta_o 1 ColiflorAplic. Pesticidas ; Brice_oCasta_o 1 ColiflorAplic. Pesticidas ;17-08-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; Casta_o 1  ; Coliflor ;;17;;;  CANTUS SELECRON SORBA LI700  ;;2;  Ha  ;20.000;40.000;7.600;47.600;  Massai  ;;;
  Massai San JorgeApioAplic. Pesticidas ; Brice_oSan JorgeApioAplic. Pesticidas ;18-08-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; San Jorge ; Apio ;;18;;;  Bravo/bulldock/trainer/smg/li700  ;;16,5;  Ha  ;20.000;330.000;62.700;392.700;  Massai  ;;;
  Arancibia G NogalesApioCultivar ; Brice_oNogalesApioCultivar ;18-08-16;Brice_o;  Cultivar  ; Cultivar ;; Nogales ; Apio ;;;;;;;5;  Ha  ;25.000;125.000;23.750;148.750;  Arancibia G  ;;;
 ValcamNogalesApioCultivar ; Brice_oNogalesApioCultivar ;18-08-16;Brice_o;  Cultivar  ; Cultivar ;; Nogales ; Apio ;;;;;  con Caballo 2 veces  ;;2;  Ha  ;25.000;;;; Valcam ;;;
  Massai Casta_o 2Apio 17Aplic. Pesticidas ; Brice_oCasta_o 2Apio 17Aplic. Pesticidas ;18-08-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; Casta_o 2 ; Apio 17 ;;19;;;  Bravo/bulldock/trainer/smg/li700  ;;5;  Ha  ;20.000;100.000;19.000;119.000;  Massai  ;;;
